,DateTime,open,high,low,close,Volume,MA100,MA50,EMA21,MA20,MA8,log_MA100_extension,log_MA50_extension,log_EMA21_extension,log_MA20_extension,log_MA8_extension,log_MA100_extension_cdf_score,log_MA50_extension_cdf_score,log_EMA21_extension_cdf_score,log_MA20_extension_cdf_score,log_MA8_extension_cdf_score,total_risk
0,2009-10-05 01:00:00,0.00076392,0.00120045,0.00076392,0.00115338,0.0,,,,,,,,,,,,,,,,
1,2009-10-12 01:00:00,0.00110205,0.00124491,0.00110205,0.00122546,0.0,,,,,,,,,,,,,,,,
2,2009-10-19 01:00:00,0.00124799,0.00128808,0.00121062,0.00128808,0.0,,,,,,,,,,,,,,,,
3,2009-10-26 00:00:00,0.00126622,0.00128455,0.00121911,0.00121911,0.0,,,,,,,,,,,,,,,,
4,2009-11-02 00:00:00,0.00125614,0.00130618,0.00125614,0.00126048,0.0,,,,,,,,,,,,,,,,
5,2009-11-09 00:00:00,0.00126048,0.00135534,0.00123576,0.00123576,0.0,,,,,,,,,,,,,,,,
6,2009-11-16 00:00:00,0.00118912,0.00118912,0.00105922,0.00105922,0.0,,,,,,,,,,,,,,,,
7,2009-11-23 00:00:00,0.00100038,0.00100038,0.00082926,0.00082926,0.0,,,,,0.00115884375,,,,,-0.33464428291221593,,,,,0.04596326597099871,
8,2009-11-30 00:00:00,0.00082384,0.00082384,0.00073284,0.00073284,0.0,,,,,0.00110627625,,,,,-0.4118275278311312,,,,,0.02182540442213862,
9,2009-12-07 00:00:00,0.00071822,0.00071822,0.00061788,0.00061788,0.0,,,,,0.00103032875,,,,,-0.5113389412094858,,,,,0.007230367381236079,
10,2009-12-14 00:00:00,0.00061487,0.00063024,0.00061337,0.0006271,0.0,,,,,0.00094770625,,,,,-0.41293857381943,,,,,0.021577371379087506,
11,2009-12-21 00:00:00,0.0006271,0.0006334,0.0006271,0.0006334,0.0,,,,,0.0008744925,,,,,-0.3225415839880094,,,,,0.051208665548919736,
12,2009-12-28 00:00:00,0.0006334,0.00071822,0.0006334,0.00071822,0.0,,,,,0.00080671,,,,,-0.11618831924755321,,,,,0.22803272609490577,
13,2010-01-04 00:00:00,0.00071822,0.00071822,0.00071822,0.00071822,0.0,,,,,0.0007420174999999,,,,,-0.03259689899426712,,,,,0.349873877602788,
14,2010-01-11 00:00:00,0.00071822,0.00283078,0.00071822,0.00280002,0.0,,,,,0.0009596175,,,,,1.0708470714303573,,,,,0.9999935642569312,
15,2010-01-18 00:00:00,0.00294594,0.00325203,0.00273583,0.00325203,0.0,,,,,0.00126246375,,,,,0.9462142478513959,,,,,0.9999348798604166,
16,2010-01-25 00:00:00,0.00325404,0.0033661,0.00318532,0.00329826,0.0,,,,,0.00158314125,,,,,0.7339840504584035,,,,,0.998209048317237,
17,2010-02-01 00:00:00,0.00329674,0.00373511,0.00329674,0.00373511,0.0,,,,,0.001972795,,,,,0.6383259503330336,,,,,0.9938115232320059,
18,2010-02-08 00:00:00,0.00379478,0.00405351,0.00379478,0.00405351,0.0,,,,,0.00240109625,,,,,0.5236577685472135,,,,,0.977668371807376,
19,2010-02-15 00:00:00,0.00414731,0.00466157,0.00414731,0.00466157,0.0,,,,0.0017559455,0.0029046175,,,,0.9763448429825975,0.4730505891680164,,,,0.9767938880733813,0.9632776832288588,
